bat	פֿלעדערמויז
moss	מאָך
mouldy	פֿאַרשימלט
chutzpah	חוצפּה
anti-Semitic	אַנטיסעמיטיש
may	מעגן
איך	איך האָב דיך ליב
afraid	מורא האָבן
daughter	טאָכטער
underline	אונטערשטרײַכן
beloved	געליבט
now	איצט
Berger	בערגער
book	ביכל
children	קינדערביכל
humor	הומאָר
energy	ענערגיע
sell	פֿאַרקויפֿן
clown	פּאַיאַץ
world-renowned	וועלט־באַרימט
famous	באַרימט
spritz	שפּריץ
spritz	שפּריצן
copy	עקזעמפּלאַר
over-	איבער־
very	גאָר
gorilla	גאָרילע
publisher	פֿאַרלאַג
popular	פּאָפּולער
youth	יוגנט
youthful	יוגנטלעך
series	סעריע
organization	אָרגאַניזאַציע
יונגע	יונגע־לײַט
ideology	אידעאָלאָגיע
environment	סבֿיבֿה
love	ליב האָבן
sneeze	נאָס
wet	נאַס
house	שטוב
shul	שטיבל
help	הילף
look	קוקן
street	גאַס
secondly	צווייטנס
second	צווייט
secondary	צווייטיק
Sarah	שׂרה
if only	הלוואי
something	עפּעס
happen	געשען
cockroach	טאַראַקאַן
player	שפּילער
generally	בכלל
ball	באַלעם
ייִדישע	ייִדישע גאַס
then	דעמאָלט
hear	הערן
oh	אַך
influential	מאַכער
move	מאַך
might	מאַכט
left	לינק
memory	זכּרון
ruins	תּל
telescope	טעלעסקאָפּ
gratitude	דאַנק
dolphin	דעלפֿין
elephant	העלפֿאַנד
trip	נסיעה
tree	ביימל
story	געשיכטע
dialectal	דיאַלעקטיש
mamzer	ממזר
subject	לימוד
evil eye	עין־הרע
shop	געשעפֿט
אין	גיי אין דר׳ערד
Earth	ערד
quick	גיך
devil	טײַוול
dybbuk	דיבוק
minyan	מנין
